date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:58	114/114	---M-Z	200	added ('OK')	text/plain	date:Thu,%2023%20May%202024%2005:45:58%20GMT	https://wpriverthemes.com/robots.txt		(from )
11:15:59	117548/117548	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2005:45:59%20GMT	https://wpriverthemes.com/synck/	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/index.html	(from )
11:16:00	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2023%20May%202024%2005:46:00%20GMT	https://wpriverthemes.com/synck/xmlrpc.php	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/xmlrpc.php	(from https://wpriverthemes.com/synck/)
11:16:00	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-663c9f91-214ae7a9c91aa01f;gz%22	https://wpriverthemes.com/synck/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.4	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/plugins/contact-form-7/includes/css/styles9bd2.css	(from https://wpriverthemes.com/synck/)
11:16:01	9607/9607	---MCZ	200	added ('OK')	application/rss+xml	etag:%2267489d6a41828b7ad24679ab91394b5e%22	https://wpriverthemes.com/synck/feed/	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/feed/index.html	(from https://wpriverthemes.com/synck/)
11:16:01	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-66273578-5bf58c07a1b3d2cd;gz%22	https://wpriverthemes.com/synck/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.28	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor942d.css	(from https://wpriverthemes.com/synck/)
11:16:02	118945/118945	---M-Z	200	added ('OK')	text/css	etag:%221d0a1-663c9f94-c5adf4b13e901f58;gz%22	https://wpriverthemes.com/synck/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.5	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/plugins/elementor/assets/css/frontend-lite.min63aa.css	(from https://wpriverthemes.com/synck/)
11:16:02	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-663c9f94-b14d6c15d7db7573;gz%22	https://wpriverthemes.com/synck/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://wpriverthemes.com/synck/)
11:16:02	1107/1107	---M-Z	200	added ('OK')	text/css	etag:%22453-663c9fb8-1f61cea53037fecc;gz%22	https://wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-6.css?ver=1715249080	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-68d17.css	(from https://wpriverthemes.com/synck/)
11:16:02	748/748	---M-Z	200	added ('OK')	application/rss+xml	etag:%2267489d6a41828b7ad24679ab91394b5e%22	https://wpriverthemes.com/synck/comments/feed/	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/comments/feed/index.html	(from https://wpriverthemes.com/synck/)
11:16:02	15563/15563	---M-Z	200	added ('OK')	text/css	etag:%223ccb-663c9fb8-4c169bb0ff37451d;gz%22	https://wpriverthemes.com/synck/wp-content/uploads/elementor/css/global.css?ver=1715249080	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/uploads/elementor/css/global8d17.css	(from https://wpriverthemes.com/synck/)
11:16:03	3635/3635	---M-Z	200	added ('OK')	text/css	etag:%22e33-663ca1ea-62851cebe8205ae6;gz%22	https://wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-9.css?ver=1715249642	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-9de72.css	(from https://wpriverthemes.com/synck/)
11:16:03	341/341	---M-Z	200	added ('OK')	text/css	etag:%22155-663c9fb8-6026b8ed4f5ad70f;gz%22	https://wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-5407.css?ver=1715249080	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-54078d17.css	(from https://wpriverthemes.com/synck/)
11:16:04	342/342	---M-Z	200	added ('OK')	text/css	etag:%22156-66474f6f-a1e37d897d91e4a0;gz%22	https://wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-5525.css?ver=1715949423	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/uploads/elementor/css/post-552560c9.css	(from https://wpriverthemes.com/synck/)
11:16:04	89728/89728	---M-Z	200	added ('OK')	text/css	etag:%2215e80-65e5d064-bab8af4c743e7168;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/line-awesome.min.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/line-awesome.minef10.css	(from https://wpriverthemes.com/synck/)
11:16:11	2564614/2564614	---M-Z	200	added ('OK')	text/css	etag:%22272206-65e5d064-bf163d607d2a6c69;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/iconoir.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/iconoiref10.css	(from https://wpriverthemes.com/synck/)
11:16:11	232947/232947	---M-Z	200	added ('OK')	text/css	etag:%2238df3-65e5d064-608a675f17b0008c;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/bootstrap.min.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/bootstrap.minef10.css	(from https://wpriverthemes.com/synck/)
11:16:11	18452/18452	---M-Z	200	added ('OK')	text/css	etag:%224814-65e5d064-dfa9b6383d1466b7;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/swiper-bundle.min.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/swiper-bundle.minef10.css	(from https://wpriverthemes.com/synck/)
11:16:12	152692/152692	---M-Z	200	added ('OK')	text/css	etag:%2225474-65f7d154-8639dd44ecbe5423;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/style.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/styleef10.css	(from https://wpriverthemes.com/synck/)
11:16:14	44469/44469	---M-Z	200	added ('OK')	text/css	etag:%22adb5-65e5d064-658c4ce7937b134d;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/synck-unit-test.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/synck-unit-testef10.css	(from https://wpriverthemes.com/synck/)
11:16:14	123655/123655	---M-Z	200	added ('OK')	text/css	etag:%221e307-65f68b23-61d42412a84180ac;gz%22	https://wpriverthemes.com/synck/wp-content/themes/synck/assets/css/responsive.css?ver=6.5.3	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-content/themes/synck/assets/css/responsiveef10.css	(from https://wpriverthemes.com/synck/)
11:16:15	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-65b235cf-326beae18c455ef3;gz%22	https://wpriverthemes.com/synck/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-includes/js/jquery/jquery.minf43b.js	(from https://wpriverthemes.com/synck/)
11:16:15	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-65b235cf-38396fb785f5a6d3;gz%22	https://wpriverthemes.com/synck/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://wpriverthemes.com/synck/)
11:16:16	58010/58010	---MCZ	200	added ('OK')	application/json	date:Thu,%2023%20May%202024%2005:46:16%20GMT	https://wpriverthemes.com/synck/wp-json/wp/v2/pages/9	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-json/wp/v2/pages/9.json	(from https://wpriverthemes.com/synck/)
11:16:16	191995/191995	---MCZ	200	added ('OK')	application/json	date:Thu,%2023%20May%202024%2005:46:16%20GMT	https://wpriverthemes.com/synck/wp-json/	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-json/index.html	(from https://wpriverthemes.com/synck/)
11:16:19	852/852	---M-Z	200	added ('OK')	text/xml	date:Thu,%2023%20May%202024%2005:46:19%20GMT	https://wpriverthemes.com/synck/xmlrpc.php?rsd	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/xmlrpc0db0.php	(from https://wpriverthemes.com/synck/)
11:16:19	2058/2058	---M-Z	200	added ('OK')	application/json	date:Thu,%2023%20May%202024%2005:46:19%20GMT	https://wpriverthemes.com/synck/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwpriverthemes.com%2Fsynck%2F	C:/Users/LENOVO/3D%20Objects/Biorbit2/wpriverthemes.com/synck/wp-json/oembed/1.0/embed74ee.json	(from https://wpriverthemes.com/synck/)
